Title,Incident_Count
VWITS_Laptop Charger is not working,3
VWITS_Outlook is not working properly,3
VWITS_Cost center is coming up as blank while filling VW system for SAP GUI 7.70,3
VWITS_Laptop Power on issue,3
Attendance regularization request for 03 Sep 2024,3
VWITS-Regularize the Attendance,3
VWITS-Laptop is not working.,3
VWITS-Teams is not working.,3
VWITS- Success Factor Login Credential,3
VWGDS-SCCM/MECM Maintenance mode,3
VWITS_Headset is not working.,3
VWITS-Citrix workspace is not working,3
VWITS-Laptop camera is not working,3
VWITS-Training Assignment Notification,3
VWITS_PKI card is not working.,3
VWITS_GIT,3
VWITS-Attendance regularization for 14th Dec 2023,3
Unable to Apply Leave,3
VWITS_Laptop camera not working,3
VWITS_JIRA and Confluence,3
Technical Issue Encountered During Training Test,3
VWITS_PKI certificates issue,3
VWITS-Internet not work zscaler retry error-Congo,3
VWITS-Outlook is not working,3
VWITS_Password locked,3
VWITS-Internet not work zscaler retry error,3
VWITS_Please find attached CSR file and provide the certificate.,3
VWITS_Please provide access to Teams Meeting Recording for Internal Teams Meeting Purpose,3
VWITS_Printer Access,3
VWITS-Regarding facing problem in Mandatory Training Completion.,3
VWITS_Printer access,3
VWITS_Laptop hanging issue,3
VWITS-VPN is not working,3
VWITS_Account reset,3
VWITS-Headset requirement,3
VWITS_Laptop is not powering on,3
VWITS_Bitlocker recovery key issue,3
"VWITS_I switched to MacBook from my windows laptop and now I am unable to connect databricks from VS code, I am assuming the issue is either with firewall or need to add *azuredatabricks.net and *azure.com in Zscaler",3
VWITS_Request for WinSCP installation,3
VWITS_Request for printer installation,3
VWITS_Laptop is not turning on,3
VWITS_Request to install GIT,3
VWITS_Headset not working properly.,3
VWITS_Requesting support to set the MySQL path in the environment variables since I do not have admin privileges on my system.,3
VWITS_Battery issue,3
VWITS-User cannot see anything in the portal.,3
VWIT-Not getting take over option for this change task CT22200642 in ServiceCenter3.,3
"VWITS_I have joined Volkswagen on Dec 22, in Scania team, and I have an issue that I am not added to any email lists or DLs in Volkswagen, and I have not been receiving any emails or communications on VW email that everyone else on my team are receiving.",3
VWITS_C drive space full issue,3
VWITS_SAP GUI not working,3
VWITS-  Bi-Weekly Attendance Report,3
VWITS_Scania website not work,3
VWITS-PKI card is blocked,3
VWITS_Card reader is not working,3
VWITS-Laptop speaker and mic have got disabled and not working,3
VWITS_Smart card blocked,3
VWITS_Success Factor,3
"VWITS_Hi,",3
VWITS_Laptop screen issue,3
VWITS_Success factor login issue,3
VWITS_Successfactor not working,3
VWITS_Successfactors,3
VWITS-Attendance Regularization Request,3
VWITS_System hang issue: GGN,3
VWITS_System log in issue _Ganges location,3
VWITS_System slowness issue,3
VWITS_Teams feature was not reflecting in my Outlook,3
VWITS-need the access for this HP SC3 link: https://sc3.vwgroup.com/,3
VWITS_Test Ticket,3
VWGDS-  Regarding network issue issue,3
VWITS-Timesheet adjustment for working days,3
VWITS-Laptop heating issue,3
VWITS-MacBook Internet Slowness issue-VWITS-9790,3
VWITS_Account is locked,3
VWITS-Regularization in SF,3
"VWITS_Unable to edit, save copy one notes notebook.",3
VWITS_Unable to login to success factor,3
VWITS_Headset not working properly,3
VWITS_User account  is locked.,3
VWITS_User is not able to login into SuccessFactors.,3
VWITS_Laptop space issue,3
VWITS_User is unable to access probation link.,3
VWITS_User is unable to logon to Concur.,3
VWITS- need the access for this HP SC3 link: https://sc3.vwgroup.com/,3
VWITS_VMT Application is not able to connect with certain API's to fetch data while connected to VPN. Its working when we disconnect VPN.,3
VWITS_Charger is not working,3
VWITS-Not able to login to VPN,3
VWITS_VPN Issue,3
In / Out time adjustment,3
VWITS_VPN configuration - Ganges,3
VWITS_VPN connection issue,3
VWITS-About SuccessFactors username and password,3
VWITS_Adobe software issue,3
